Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
Eglin Air Force Base,Valparaiso,FL,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Skywest Airlines Inc.,56
Gallatin,Bozeman,MT,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,56
Gen Edw L Logan Intl,Boston,MA,USA,Sarasota Bradenton International,Sarasota,FL,USA,AirTran Airways Corporation,56
General Mitchell International,Milwaukee,WI,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,56
General Mitchell International,Milwaukee,WI,USA,James M Cox Dayton Intl,Dayton,OH,USA,Skywest Airlines Inc.,56
George Bush Intercontinental,Houston,TX,USA,Washington Dulles International,Chantilly,VA,USA,United Air Lines Inc.,56
Harrisburg Intl,Harrisburg,PA,USA,Orlando International,Orlando,FL,USA,AirTran Airways Corporation,56
Honolulu International,Honolulu,HI,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,56
Portland Intl,Portland,OR,USA,Reno/Tahoe International,Reno,NV,USA,American Airlines Inc.,56
Reno/Tahoe International,Reno,NV,USA,Sacramento International,Sacramento,CA,USA,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),56
Rogue Valley International,Medford,OR,USA,North Bend Muni,North Bend,OR,USA,Skywest Airlines Inc.,56
Salt Lake City Intl,Salt Lake City,UT,USA,Glacier Park Intl,Kalispell,MT,USA,Delta Air Lines Inc.,56
Sarasota Bradenton International,Sarasota,FL,USA,Lambert-St Louis International,St Louis,MO,USA,Trans World Airways LLC,56
Seattle-Tacoma Intl,Seattle,WA,USA,Portland Intl,Portland,OR,USA,Trans World Airways LLC,56
Theodore F Green State,Providence,RI,USA,Orlando International,Orlando,FL,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),56
William P Hobby,Houston,TX,USA,Lambert-St Louis International,St Louis,MO,USA,Trans World Airways LLC,56
Baltimore-Washington International,Baltimore,MD,USA,San Francisco International,San Francisco,CA,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),55
Binghamton Regional,Binghamton,NY,USA,Pittsburgh International,Pittsburgh,PA,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),55
Albany Cty,Albany,NY,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,American Airlines Inc.,54
Blue Grass,Lexington,KY,USA,Charlotte/Douglas International,Charlotte,NC,USA,Mesa Airlines Inc.,54
Buffalo Niagara Intl,Buffalo,NY,USA,LaGuardia,New York,NY,USA,American Eagle Airlines Inc.,54
Dane County Regional,Madison,WI,USA,Pueblo Memorial,Pueblo,CO,USA,Skywest Airlines Inc.,54
Denver Intl,Denver,CO,USA,Des Moines International,Des Moines,IA,USA,Mesa Airlines Inc.,54
Detroit Metropolitan-Wayne County,Detroit,MI,USA,San Jose International,San Jose,CA,USA,Northwest Airlines Inc.,54
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,LaGuardia,New York,NY,USA,Continental Air Lines Inc.,54
